(R)-warfarin,The risk or severity of bleeding can be increased when Ceftriaxone is combined with (R)-warfarin.
Defibrotide,The therapeutic efficacy of Defibrotide can be decreased when used in combination with Ceftriaxone.
Delafloxacin,Ceftriaxone may decrease the excretion rate of Delafloxacin which could result in a higher serum level.
Desipramine,Ceftriaxone may decrease the excretion rate of Desipramine which could result in a higher serum level.
Desirudin,The therapeutic efficacy of Desirudin can be decreased when used in combination with Ceftriaxone.
Desmopressin,Ceftriaxone may decrease the excretion rate of Desmopressin which could result in a higher serum level.
Desmoteplase,The therapeutic efficacy of Desmoteplase can be decreased when used in combination with Ceftriaxone.
Desvenlafaxine,Ceftriaxone may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.
Deutetrabenazine,Ceftriaxone may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.
Dexamethasone,The serum concentration of Dexamethasone can be increased when it is combined with Ceftriaxone.
Dexibuprofen,Dexibuprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Dexketoprofen,Ceftriaxone may decrease the excretion rate of Dexketoprofen which could result in a higher serum level.
Dexmedetomidine,Ceftriaxone may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.
Dexpanthenol,Ceftriaxone may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.
Dexrazoxane,Ceftriaxone may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.
Dextran,Ceftriaxone may decrease the excretion rate of Dextran which could result in a higher serum level.
Diatrizoate,Ceftriaxone may decrease the excretion rate of Diatrizoate which could result in a higher serum level.
Diazepam,The serum concentration of Diazepam can be increased when it is combined with Ceftriaxone.
Diazoxide,Diazoxide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Dibekacin,Dibekacin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Dichlorobenzyl alcohol,Ceftriaxone may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.
Diclofenac,Diclofenac may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Diclofenamide,Diclofenamide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Dicoumarol,The risk or severity of bleeding can be increased when Ceftriaxone is combined with Dicoumarol.
Dicyclomine,Ceftriaxone may decrease the excretion rate of Dicyclomine which could result in a higher serum level.
Didanosine,Ceftriaxone may decrease the excretion rate of Didanosine which could result in a higher serum level.
Dienogest,Ceftriaxone may decrease the excretion rate of Dienogest which could result in a higher serum level.
Diethylstilbestrol,The serum concentration of Diethylstilbestrol can be increased when it is combined with Ceftriaxone.
Difenpiramide,Difenpiramide may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Diflunisal,Diflunisal may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Digitoxin,The serum concentration of Digitoxin can be increased when it is combined with Ceftriaxone.
Digoxin,Ceftriaxone may decrease the excretion rate of Digoxin which could result in a higher serum level.
Dihydrostreptomycin,Dihydrostreptomycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Diltiazem,The serum concentration of Diltiazem can be increased when it is combined with Ceftriaxone.
Dimercaprol,Ceftriaxone may decrease the excretion rate of Dimercaprol which could result in a higher serum level.
Dimetacrine,Ceftriaxone may decrease the excretion rate of Dimetacrine which could result in a higher serum level.
Dimethyl sulfoxide,Ceftriaxone may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.
Dinoprostone,The excretion of Dinoprostone can be decreased when combined with Ceftriaxone.
Diphenadione,The risk or severity of bleeding can be increased when Ceftriaxone is combined with Diphenadione.
Dipyridamole,The serum concentration of Dipyridamole can be increased when it is combined with Ceftriaxone.
Disopyramide,Ceftriaxone may decrease the excretion rate of Disopyramide which could result in a higher serum level.
Disulfiram,The risk or severity of adverse effects can be increased when Ceftriaxone is combined with Disulfiram.
Ditazole,The therapeutic efficacy of Ditazole can be decreased when used in combination with Ceftriaxone.
DL-Methylephedrine,Ceftriaxone may decrease the excretion rate of DL-Methylephedrine which could result in a higher serum level.
Dobutamine,Ceftriaxone may decrease the excretion rate of Dobutamine which could result in a higher serum level.
Docetaxel,The serum concentration of Docetaxel can be increased when it is combined with Ceftriaxone.
Dolutegravir,The serum concentration of Dolutegravir can be increased when it is combined with Ceftriaxone.
Domperidone,The serum concentration of Domperidone can be increased when it is combined with Ceftriaxone.
Dopamine,Ceftriaxone may decrease the excretion rate of Dopamine which could result in a higher serum level.
Doripenem,Ceftriaxone may decrease the excretion rate of Doripenem which could result in a higher serum level.
Doxacurium,Ceftriaxone may decrease the excretion rate of Doxacurium which could result in a higher serum level.
Doxepin,The serum concentration of Doxepin can be increased when it is combined with Ceftriaxone.
Doxorubicin,The serum concentration of Doxorubicin can be increased when it is combined with Ceftriaxone.
Doxorubicin,The serum concentration of Doxorubicin can be increased when it is combined with Ceftriaxone.
Doxycycline,Doxycycline may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Drospirenone,Drospirenone may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Drotrecogin alfa,The therapeutic efficacy of Drotrecogin alfa can be decreased when used in combination with Ceftriaxone.
Droxicam,Droxicam may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Droxidopa,Ceftriaxone may decrease the excretion rate of Droxidopa which could result in a higher serum level.
Duloxetine,Ceftriaxone may decrease the excretion rate of Duloxetine which could result in a higher serum level.
Duvelisib,The serum concentration of Duvelisib can be increased when it is combined with Ceftriaxone.
Dyphylline,Ceftriaxone may decrease the excretion rate of Dyphylline which could result in a higher serum level.
Edaravone,The excretion of Edaravone can be decreased when combined with Ceftriaxone.
Edetate calcium disodium anhydrous,The therapeutic efficacy of Edetate calcium disodium anhydrous can be decreased when used in combination with Ceftriaxone.
Edetate disodium anhydrous,The therapeutic efficacy of Edetate disodium anhydrous can be decreased when used in combination with Ceftriaxone.
Edoxaban,The serum concentration of Edoxaban can be increased when it is combined with Ceftriaxone.
Edrophonium,Ceftriaxone may decrease the excretion rate of Edrophonium which could result in a higher serum level.
Efonidipine,Efonidipine may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Elagolix,The serum concentration of Elagolix can be increased when it is combined with Ceftriaxone.
Elbasvir,The serum concentration of Elbasvir can be increased when it is combined with Ceftriaxone.
Eletriptan,The serum concentration of Eletriptan can be increased when it is combined with Ceftriaxone.
Ellagic Acid,The excretion of Ellagic Acid can be decreased when combined with Ceftriaxone.
Eluxadoline,The excretion of Eluxadoline can be decreased when combined with Ceftriaxone.
Empagliflozin,Ceftriaxone may decrease the excretion rate of Empagliflozin which could result in a higher serum level.
Emtricitabine,Ceftriaxone may decrease the excretion rate of Emtricitabine which could result in a higher serum level.
Enalaprilat,Ceftriaxone may decrease the excretion rate of Enalaprilat which could result in a higher serum level.
Enoxaparin,The therapeutic efficacy of Enoxaparin can be decreased when used in combination with Ceftriaxone.
Enzalutamide,Ceftriaxone may decrease the excretion rate of Enzalutamide which could result in a higher serum level.
Epirizole,Epirizole may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Epitizide,Epitizide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Eplerenone,Eplerenone may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Epoprostenol,Ceftriaxone may decrease the excretion rate of Epoprostenol which could result in a higher serum level.
Erlotinib,The serum concentration of Erlotinib can be increased when it is combined with Ceftriaxone.
Ertapenem,Ceftriaxone may decrease the excretion rate of Ertapenem which could result in a higher serum level.
Ertugliflozin,The serum concentration of Ertugliflozin can be increased when it is combined with Ceftriaxone.
Erythromycin,The serum concentration of Erythromycin can be increased when it is combined with Ceftriaxone.
Esomeprazole,Ceftriaxone may decrease the excretion rate of Esomeprazole which could result in a higher serum level.
Estazolam,Ceftriaxone may decrease the excretion rate of Estazolam which could result in a higher serum level.
Estradiol,The serum concentration of Estradiol can be increased when it is combined with Ceftriaxone.
Estradiol acetate,The serum concentration of Estradiol acetate can be increased when it is combined with Ceftriaxone.
Estradiol benzoate,The serum concentration of Estradiol benzoate can be increased when it is combined with Ceftriaxone.
Estradiol cypionate,The serum concentration of Estradiol cypionate can be increased when it is combined with Ceftriaxone.
Estradiol dienanthate,The serum concentration of Estradiol dienanthate can be increased when it is combined with Ceftriaxone.
Estradiol valerate,The serum concentration of Estradiol valerate can be increased when it is combined with Ceftriaxone.
Estriol,The serum concentration of Estriol can be increased when it is combined with Ceftriaxone.
Estrone sulfate,Ceftriaxone may decrease the excretion rate of Estrone sulfate which could result in a higher serum level.
Eszopiclone,Ceftriaxone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.
Etacrynic acid,Etacrynic acid may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Etafedrine,Ceftriaxone may decrease the excretion rate of Etafedrine which could result in a higher serum level.
Ethambutol,Ceftriaxone may decrease the excretion rate of Ethambutol which could result in a higher serum level.
Ethenzamide,Ethenzamide may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ethinylestradiol,The serum concentration of Ethinylestradiol can be increased when it is combined with Ceftriaxone.
Ethoxzolamide,Ethoxzolamide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Ethyl biscoumacetate,The risk or severity of bleeding can be increased when Ceftriaxone is combined with Ethyl biscoumacetate.
Etidronic acid,The risk or severity of nephrotoxicity and hypocalcemia can be increased when Ceftriaxone is combined with Etidronic acid.
Etodolac,Etodolac may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Etofenamate,Etofenamate may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Etomidate,Ceftriaxone may decrease the excretion rate of Etomidate which could result in a higher serum level.
Etonogestrel,Ceftriaxone may decrease the excretion rate of Etonogestrel which could result in a higher serum level.
Etoperidone,Ceftriaxone may decrease the excretion rate of Etoperidone which could result in a higher serum level.
Etoposide,The serum concentration of Etoposide can be increased when it is combined with Ceftriaxone.
Etoricoxib,Etoricoxib may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Eucalyptus oil,Ceftriaxone may decrease the excretion rate of Eucalyptus oil which could result in a higher serum level.
Evening primrose oil,Ceftriaxone may decrease the excretion rate of Evening primrose oil which could result in a higher serum level.
Everolimus,The serum concentration of Everolimus can be increased when it is combined with Ceftriaxone.
Ezetimibe,The serum concentration of Ezetimibe can be increased when it is combined with Ceftriaxone.
Ezogabine,Ceftriaxone may decrease the excretion rate of Ezogabine which could result in a higher serum level.
Famotidine,The excretion of Famotidine can be decreased when combined with Ceftriaxone.
Felbinac,Felbinac may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Fenbufen,Fenbufen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Fenofibrate,Ceftriaxone may decrease the excretion rate of Fenofibrate which could result in a higher serum level.
Fenofibric acid,Ceftriaxone may decrease the excretion rate of Fenofibric acid which could result in a higher serum level.
Fenoldopam,Ceftriaxone may decrease the excretion rate of Fenoldopam which could result in a higher serum level.
Fenoprofen,Fenoprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Fenproporex,Ceftriaxone may decrease the excretion rate of Fenproporex which could result in a higher serum level.
Fenquizone,Fenquizone may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Fentanyl,Ceftriaxone may decrease the excretion rate of Fentanyl which could result in a higher serum level.
Fentiazac,Fentiazac may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Feprazone,Feprazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ferulic acid,The therapeutic efficacy of Ferulic acid can be decreased when used in combination with Ceftriaxone.
Fesoterodine,The serum concentration of Fesoterodine can be increased when it is combined with Ceftriaxone.
Fexofenadine,The serum concentration of Fexofenadine can be increased when it is combined with Ceftriaxone.
Fibrinolysin,The therapeutic efficacy of Fibrinolysin can be decreased when used in combination with Ceftriaxone.
Fidaxomicin,The serum concentration of Fidaxomicin can be increased when it is combined with Ceftriaxone.
Firocoxib,Firocoxib may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Flavoxate,Ceftriaxone may decrease the excretion rate of Flavoxate which could result in a higher serum level.
Floctafenine,Floctafenine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Flomoxef,Flomoxef may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Florbetaben (18F),Ceftriaxone may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.
Florbetapir (18F),Ceftriaxone may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.
Floxuridine,Ceftriaxone may decrease the excretion rate of Floxuridine which could result in a higher serum level.
Fluciclovine (18F),The serum concentration of Fluciclovine (18F) can be increased when it is combined with Ceftriaxone.
Fluconazole,Ceftriaxone may decrease the excretion rate of Fluconazole which could result in a higher serum level.
Flucytosine,Ceftriaxone may decrease the excretion rate of Flucytosine which could result in a higher serum level.
Fludeoxyglucose F-18,Ceftriaxone may decrease the excretion rate of Fludeoxyglucose F-18 which could result in a higher serum level.
Fluindione,The risk or severity of bleeding can be increased when Ceftriaxone is combined with Fluindione.
Flumazenil,Ceftriaxone may decrease the excretion rate of Flumazenil which could result in a higher serum level.
Flunixin,Flunixin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Flunoxaprofen,Flunoxaprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Fluocinolone acetonide,Ceftriaxone may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.
Fluorescein,The excretion of Fluorescein can be decreased when combined with Ceftriaxone.
Flupentixol,The serum concentration of Flupentixol can be increased when it is combined with Ceftriaxone.
Flupirtine,Ceftriaxone may decrease the excretion rate of Flupirtine which could result in a higher serum level.
Flurazepam,Ceftriaxone may decrease the excretion rate of Flurazepam which could result in a higher serum level.
Flurbiprofen,Flurbiprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Flutamide,Ceftriaxone may decrease the excretion rate of Flutamide which could result in a higher serum level.
Fluticasone,The serum concentration of Fluticasone can be increased when it is combined with Ceftriaxone.
Fluticasone furoate,The serum concentration of Fluticasone furoate can be increased when it is combined with Ceftriaxone.
Fluticasone propionate,The serum concentration of Fluticasone propionate can be increased when it is combined with Ceftriaxone.
Fluvoxamine,Ceftriaxone may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.
Folic Acid,Ceftriaxone may decrease the excretion rate of Folic Acid which could result in a higher serum level.
Fomepizole,Ceftriaxone may decrease the excretion rate of Fomepizole which could result in a higher serum level.
Fondaparinux,Ceftriaxone may decrease the excretion rate of Fondaparinux which could result in a higher serum level.
Formestane,Ceftriaxone may decrease the excretion rate of Formestane which could result in a higher serum level.
Foscarnet,The risk or severity of nephrotoxicity can be increased when Ceftriaxone is combined with Foscarnet.
Fosfomycin,Ceftriaxone may decrease the excretion rate of Fosfomycin which could result in a higher serum level.
Fosinopril,Ceftriaxone may decrease the excretion rate of Fosinopril which could result in a higher serum level.
Framycetin,Framycetin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Furosemide,Ceftriaxone may decrease the excretion rate of Furosemide which could result in a higher serum level.
G17DT,The therapeutic efficacy of G17DT can be decreased when used in combination with Ceftriaxone.
Gabapentin enacarbil,Ceftriaxone may decrease the excretion rate of Gabapentin enacarbil which could result in a higher serum level.
Gabexate,The therapeutic efficacy of Gabexate can be decreased when used in combination with Ceftriaxone.
Gadobenic acid,Ceftriaxone may decrease the excretion rate of Gadobenic acid which could result in a higher serum level.
Gadodiamide,Ceftriaxone may decrease the excretion rate of Gadodiamide which could result in a higher serum level.
Gadofosveset trisodium,Ceftriaxone may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.
Gadopentetic acid,Ceftriaxone may decrease the excretion rate of Gadopentetic acid which could result in a higher serum level.
Gadoteric acid,Ceftriaxone may decrease the excretion rate of Gadoteric acid which could result in a higher serum level.
Gadoteridol,Ceftriaxone may decrease the excretion rate of Gadoteridol which could result in a higher serum level.
Galantamine,Ceftriaxone may decrease the excretion rate of Galantamine which could result in a higher serum level.
Ganciclovir,Ceftriaxone may decrease the excretion rate of Ganciclovir which could result in a higher serum level.
Gefitinib,The serum concentration of Gefitinib can be increased when it is combined with Ceftriaxone.
Gemcitabine,Ceftriaxone may decrease the excretion rate of Gemcitabine which could result in a higher serum level.
Gemeprost,Ceftriaxone may decrease the excretion rate of Gemeprost which could result in a higher serum level.
Gemfibrozil,Ceftriaxone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.
Geneticin,Geneticin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Gentamicin,Gentamicin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Gentamicin C1a,Gentamicin C1a may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
GI-5005,The therapeutic efficacy of GI-5005 can be decreased when used in combination with Ceftriaxone.
Gilteritinib,The serum concentration of Gilteritinib can be increased when it is combined with Ceftriaxone.
Gimeracil,Ceftriaxone may decrease the excretion rate of Gimeracil which could result in a higher serum level.
Glasdegib,The serum concentration of Glasdegib can be increased when it is combined with Ceftriaxone.
Glecaprevir,The serum concentration of Glecaprevir can be increased when it is combined with Ceftriaxone.
Glipizide,Ceftriaxone may decrease the excretion rate of Glipizide which could result in a higher serum level.
Glutaric Acid,The excretion of Glutaric Acid can be decreased when combined with Ceftriaxone.
Glycerol phenylbutyrate,Ceftriaxone may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.
Goserelin,Ceftriaxone may decrease the excretion rate of Goserelin which could result in a higher serum level.
Gramicidin D,The serum concentration of Gramicidin D can be increased when it is combined with Ceftriaxone.
Grapiprant,The serum concentration of Grapiprant can be increased when it is combined with Ceftriaxone.
Grazoprevir,The serum concentration of Grazoprevir can be increased when it is combined with Ceftriaxone.
Grepafloxacin,The serum concentration of Grepafloxacin can be increased when it is combined with Ceftriaxone.
Guacetisal,Guacetisal may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Guanethidine,Ceftriaxone may decrease the excretion rate of Guanethidine which could result in a higher serum level.
Guanfacine,Ceftriaxone may decrease the excretion rate of Guanfacine which could result in a higher serum level.
Haloperidol,The serum concentration of Haloperidol can be increased when it is combined with Ceftriaxone.
Heparin,The therapeutic efficacy of Heparin can be decreased when used in combination with Ceftriaxone.
Hepatitis A Vaccine,The therapeutic efficacy of Hepatitis A Vaccine can be decreased when used in combination with Ceftriaxone.
Hepatitis B Vaccine (Recombinant),The therapeutic efficacy of Hepatitis B Vaccine (Recombinant) can be decreased when used in combination with Ceftriaxone.
Human adenovirus e serotype 4 strain cl-68578 antigen,The therapeutic efficacy of Human adenovirus e serotype 4 strain cl-68578 antigen can be decreased when used in combination with Ceftriaxone.
Human rabies virus immune globulin,The therapeutic efficacy of Human rabies virus immune globulin can be decreased when used in combination with Ceftriaxone.
Hydralazine,Ceftriaxone may decrease the excretion rate of Hydralazine which could result in a higher serum level.
Hydrochlorothiazide,Hydrochlorothiazide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Ceftriaxone.
Hydroflumethiazide,Hydroflumethiazide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Hydrolyzed Cephalothin,Hydrolyzed Cephalothin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Hydroxocobalamin,Ceftriaxone may decrease the excretion rate of Hydroxocobalamin which could result in a higher serum level.
Hydroxyethyl Starch,Ceftriaxone may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.
Hydroxyurea,The serum concentration of Hydroxyurea can be increased when it is combined with Ceftriaxone.
Hygromycin B,Hygromycin B may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ibandronate,The risk or severity of nephrotoxicity and hypocalcemia can be increased when Ceftriaxone is combined with Ibandronate.
Ibopamine,Ibopamine may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Ibuprofen,The serum concentration of Ibuprofen can be increased when it is combined with Ceftriaxone.
Ibuproxam,Ibuproxam may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ibutilide,Ceftriaxone may decrease the excretion rate of Ibutilide which could result in a higher serum level.
Icatibant,Ceftriaxone may decrease the excretion rate of Icatibant which could result in a higher serum level.
Icosapent,Icosapent may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Idarucizumab,Ceftriaxone may decrease the excretion rate of Idarucizumab which could result in a higher serum level.
Idebenone,Ceftriaxone may decrease the excretion rate of Idebenone which could result in a higher serum level.
Idelalisib,The serum concentration of Idelalisib can be increased when it is combined with Ceftriaxone.
Idraparinux,The therapeutic efficacy of Idraparinux can be decreased when used in combination with Ceftriaxone.
Ifosfamide,Ceftriaxone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.
Iloprost,The therapeutic efficacy of Iloprost can be decreased when used in combination with Ceftriaxone.
Imatinib,The serum concentration of Imatinib can be increased when it is combined with Ceftriaxone.
Imidafenacin,Ceftriaxone may decrease the excretion rate of Imidafenacin which could result in a higher serum level.
Imidazole salicylate,Imidazole salicylate may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Imipramine,Ceftriaxone may decrease the excretion rate of Imipramine which could result in a higher serum level.
Incadronic acid,The risk or severity of nephrotoxicity and hypocalcemia can be increased when Ceftriaxone is combined with Incadronic acid.
Indacaterol,The serum concentration of Indacaterol can be increased when it is combined with Ceftriaxone.
Indapamide,Ceftriaxone may decrease the excretion rate of Indapamide which could result in a higher serum level.
Indigotindisulfonic Acid,Ceftriaxone may decrease the excretion rate of Indigotindisulfonic Acid which could result in a higher serum level.
Indinavir,The serum concentration of Indinavir can be increased when it is combined with Ceftriaxone.
Indobufen,Indobufen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Indometacin,The serum concentration of Indometacin can be increased when it is combined with Ceftriaxone.
Indoprofen,Indoprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
INGN 225,The therapeutic efficacy of INGN 225 can be decreased when used in combination with Ceftriaxone.
Inosine pranobex,Ceftriaxone may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.
Inositol,Ceftriaxone may decrease the excretion rate of Inositol which could result in a higher serum level.
Inotersen,Inotersen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Inotuzumab ozogamicin,The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Ceftriaxone.
Invert sugar,Ceftriaxone may decrease the excretion rate of Invert sugar which could result in a higher serum level.
Iobenguane sulfate I-123,Ceftriaxone may decrease the excretion rate of Iobenguane sulfate I-123 which could result in a higher serum level.
Iodixanol,Ceftriaxone may decrease the excretion rate of Iodixanol which could result in a higher serum level.
Ioflupane I-123,Ceftriaxone may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.
Iopromide,Ceftriaxone may decrease the excretion rate of Iopromide which could result in a higher serum level.
Iothalamic acid,Ceftriaxone may decrease the excretion rate of Iothalamic acid which could result in a higher serum level.
Ioversol,Ceftriaxone may decrease the excretion rate of Ioversol which could result in a higher serum level.
Ioxilan,Ceftriaxone may decrease the excretion rate of Ioxilan which could result in a higher serum level.
Ipecac,Ceftriaxone may decrease the excretion rate of Ipecac which could result in a higher serum level.
Ipilimumab,Ceftriaxone may decrease the excretion rate of Ipilimumab which could result in a higher serum level.
Irinotecan,The serum concentration of Irinotecan can be increased when it is combined with Ceftriaxone.
Isepamicin,Isepamicin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Isoflavone,Ceftriaxone may decrease the excretion rate of Isoflavone which could result in a higher serum level.
Isoniazid,Ceftriaxone may decrease the excretion rate of Isoniazid which could result in a higher serum level.
Isosorbide,Isosorbide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Isosorbide Mononitrate,Ceftriaxone may decrease the excretion rate of Isosorbide Mononitrate which could result in a higher serum level.
Isosulfan blue,Ceftriaxone may decrease the excretion rate of Isosulfan blue which could result in a higher serum level.
Isotretinoin,Ceftriaxone may decrease the excretion rate of Isotretinoin which could result in a higher serum level.
Isoxicam,Isoxicam may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Isradipine,Ceftriaxone may decrease the excretion rate of Isradipine which could result in a higher serum level.
Itraconazole,The serum concentration of Itraconazole can be increased when it is combined with Ceftriaxone.
Ivermectin,The serum concentration of Ivermectin can be increased when it is combined with Ceftriaxone.
Ivosidenib,The serum concentration of Ivosidenib can be increased when it is combined with Ceftriaxone.
Ixazomib,Ceftriaxone may decrease the excretion rate of Ixazomib which could result in a higher serum level.
Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated),The therapeutic efficacy of Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated) can be decreased when used in combination with Ceftriaxone.
Kanamycin,Kanamycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Kebuzone,Kebuzone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ketamine,Ceftriaxone may decrease the excretion rate of Ketamine which could result in a higher serum level.
Ketazolam,The serum concentration of Ketazolam can be increased when it is combined with Ceftriaxone.
Ketoconazole,The serum concentration of Ketoconazole can be increased when it is combined with Ceftriaxone.
Ketoprofen,Ketoprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ketorolac,Ketorolac may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
L-Citrulline,The excretion of L-Citrulline can be decreased when combined with Ceftriaxone.
Labetalol,Ceftriaxone may decrease the excretion rate of Labetalol which could result in a higher serum level.
Lamivudine,The serum concentration of Lamivudine can be increased when it is combined with Ceftriaxone.
Lamotrigine,The serum concentration of Lamotrigine can be increased when it is combined with Ceftriaxone.
Lansoprazole,The serum concentration of Lansoprazole can be increased when it is combined with Ceftriaxone.
Larotrectinib,The serum concentration of Larotrectinib can be increased when it is combined with Ceftriaxone.
Latamoxef,Latamoxef may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ledipasvir,The serum concentration of Ledipasvir can be increased when it is combined with Ceftriaxone.
Lenalidomide,The serum concentration of Lenalidomide can be increased when it is combined with Ceftriaxone.
Lenvatinib,The serum concentration of Lenvatinib can be increased when it is combined with Ceftriaxone.
Lepirudin,The therapeutic efficacy of Lepirudin can be decreased when used in combination with Ceftriaxone.
Lesinurad,Ceftriaxone may decrease the excretion rate of Lesinurad which could result in a higher serum level.
Letaxaban,The therapeutic efficacy of Letaxaban can be decreased when used in combination with Ceftriaxone.
Letermovir,The serum concentration of Letermovir can be increased when it is combined with Ceftriaxone.
Leucovorin,The excretion of Leucovorin can be decreased when combined with Ceftriaxone.
Leuprolide,Ceftriaxone may decrease the excretion rate of Leuprolide which could result in a higher serum level.
Levetiracetam,The serum concentration of Levetiracetam can be increased when it is combined with Ceftriaxone.
Levobupivacaine,Ceftriaxone may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.
Levocarnitine,Ceftriaxone may decrease the excretion rate of Levocarnitine which could result in a higher serum level.
Levocetirizine,Ceftriaxone may decrease the excretion rate of Levocetirizine which could result in a higher serum level.
Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Ceftriaxone.
Levomilnacipran,The serum concentration of Levomilnacipran can be increased when it is combined with Ceftriaxone.
Levosalbutamol,Ceftriaxone may decrease the excretion rate of Levosalbutamol which could result in a higher serum level.
Linagliptin,The serum concentration of Linagliptin can be increased when it is combined with Ceftriaxone.
Liothyronine,Ceftriaxone may decrease the excretion rate of Liothyronine which could result in a higher serum level.
Lisinopril,Ceftriaxone may decrease the excretion rate of Lisinopril which could result in a higher serum level.
